title,description,url,category
Tesla denies contacting headhunters to replace Musk,"The electric car firm says a report that it is hunting for a successor is ""absolutely false"".",https://www.bbc.com/news/articles/cr4n94klqg9o,Business
Seven takeaways from US-Ukraine resources deal,"What this will and won't change for US assistance to Ukraine, three years into the war.",https://www.bbc.com/news/articles/c5yg456mzn8o,Business
Apple referred for possible criminal contempt investigation,The tech giant had been ordered in 2021 to allow greater competition and open the App Store up to outside payment options.,https://www.bbc.com/news/articles/c62xv43xqq5o,Business
Meta warns of 'worse' experience for European users,Meta said the negative impact could kick in as soon as the third quarter of this year.,https://www.bbc.com/news/articles/czd3mey1ej2o,Business
Seven takeaways from US-Ukraine resources deal,"What this will and won't change for US assistance to Ukraine, three years into the war.",https://www.bbc.com/news/articles/c5yg456mzn8o,Business
US and Ukraine sign long-awaited natural resources deal,The White House has been pushing for the agreement as a prerequisite for further military assistance.,https://www.bbc.com/news/articles/c5ypw7pn9q3o,Business
Trump tells business chiefs he needs 'little bit of time' as US economy shrinks,The US president blames the first quarterly GDP decline in three years on his Democratic predecessor.,https://www.bbc.com/news/articles/c807n4rnmjyo,Business
'We don't care': A defiant China looks beyond Trump's America,"Chinese exporters tell the BBC if the US doesn't want their goods, ""other countries have money"" to buy them.",https://www.bbc.com/news/articles/cwy7jdn09lxo,Business
Deported gang members get second chance at call centre,In the Mexican city of Tijuana a number of firms are employing people who were removed from the US.,https://www.bbc.com/news/articles/c93g2e332d9o,Business
"Fifty years after the war, Vietnam faces a new US threat - tariffs",The South East Asian country is on a path to prosperity. The US-China trade war could change that.,https://www.bbc.com/news/articles/cjewggl0yqeo,Business
US economy shrinks as firms import more ahead of tariffs,The world's largest economy contracted at an annual pace of 0.3% in the first three months of 2025.,https://www.bbc.com/news/articles/cpwz9kl12l1o,Business
Billionaire Isaacman takes big step toward leading Nasa,"Jared Isaacman, who has worked with Elon Musk, won approval from a key committee and is expected to clear a full Senate vote.",https://www.bbc.com/news/articles/c5yg30dlp1vo,Business
Xi's real test is not Trump's trade war,The real battleground of the current trade war might be China's domestic economy,https://www.bbc.com/news/articles/cpq7y8vl55yo,Business
Starbucks to hire more baristas in bid to win back customers,The move to increase staff numbers comes as the coffee shop giant continues to see sales fall.,https://www.bbc.com/news/articles/cwy747g49ezo,Business
"Border crossings, egg prices and jobs - Trump's 100 days speech fact-checked",BBC Verify has looked into some of the claims made by the US president during his speech in Michigan.,https://www.bbc.com/news/articles/cy5rd35wg4ro,Business
Richard Branson criticises Donald Trump's tariffs,"Sir Richard Branson told the BBC he wanted to ""make London prosperous for everybody"".",https://www.bbc.com/news/articles/cq5w156y3jeo,Business
Playing with FIRE: How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early.,https://www.bbc.com/reel/video/p09qwdp6/playing-with-fire-how-to-quit-work-and-retire-in-your-30s,Business
Boomerang CEOs: Do they ever succeed?,"Five years after being ousted from WeWork, Adam Neumann wants to re-buy the now-bankrupt business.",https://www.bbc.com/reel/video/p0h9q7kj/boomerang-ceos-do-they-ever-succeed-,Business
How industry leaders transformed their career,The BBC's Katty Kay has spoken to successful change-makers to ask what made them pivot in their career.,https://www.bbc.com/reel/video/p0h4hbs4/how-industry-leaders-transformed-their-career,Business
Women were the original beer brewers - what changed?,"Today, the beer industry is male-dominated, but it wasn't always so.",https://www.bbc.com/reel/video/p0gwgmz8/women-were-the-original-beer-brewers-what-changed-,Business
How waiting alters our perception of time,Expert advice on how to get through a waiting period.,https://www.bbc.com/reel/video/p09cdyyd/how-waiting-alters-our-perception-of-time,Business
Do the super-rich 'deserve' their wealth?,Should there be a cap on billionaires' wealth and their inheritances?,https://www.bbc.com/reel/video/p0fv01m1/do-the-super-rich-deserve-their-wealth-,Business
Four simple hacks to succeed in every conversation,"A career coach, a choreographer, a chef and a dragon boat captain offer advice on giving critical feedback.",https://www.bbc.com/reel/video/p098mgm9/four-simple-hacks-to-succeed-in-every-conversation,Business
Solo and hybrid work: Navigating our future and new normal,Covid-19 reshaped the way we live and work. We rethink solo working and explore the future of work-life.,https://www.bbc.com/reel/video/p09p4p1r/solo-and-hybrid-work-navigating-our-future-and-new-normal,Business
Can supersonic flight ever be sustainable?,"How a new era of quiet, net zero supersonic airliners could revolutionise the aviation industry.",https://www.bbc.com/reel/video/p0c5mvlh/can-supersonic-flight-ever-be-sustainable-,Business
Commencement speech: The surprising pitfall of your passions,Students are graduating in the US this week. The commencement speeches might lead them into questionable choices.,https://www.bbc.com/reel/video/p0fq5w2r/commencement-speech-the-surprising-pitfall-of-your-passions,Business
A desk full of descriptions for your work colleagues,These are the long lost words you've been waiting for to describe your colleagues.,https://www.bbc.com/reel/video/p0d20p52/a-desk-full-of-descriptions-for-your-work-colleagues,Business
