title,description,url,category
When are the 2025 local elections and who can vote?,Voters in parts of England will elect councillors and mayors on 1 May.,https://www.bbc.com/news/articles/cvgdwwrdz3xo,Politics
Counter-terrorism police investigating Kneecap videos,The Metropolitan Police say there are 'grounds for further investigation' into the videos.,https://www.bbc.com/news/articles/clyqe3v5jjdo,Politics
Bin dispute goes to May Day mediation talks,The talks on Thursday will see conciliation service Acas included in negotiations for the first time.,https://www.bbc.com/news/articles/cwyqrny47rno,Politics
"'Unacceptable' to question Supreme Court gender ruling, says minister","Shabana Mahmood said judges at the UK's highest court had provided ""legal clarity"".",https://www.bbc.com/news/articles/cjwvx1z3l2qo,Politics
When are the 2025 local elections and who can vote?,Voters in parts of England will elect councillors and mayors on 1 May.,https://www.bbc.com/news/articles/cvgdwwrdz3xo,Politics
Labour defends net-zero policies after Blair criticism,"Former PM Sir Tony Blair says limiting fossil fuels is ""doomed to fail"" and a new approach is needed.",https://www.bbc.com/news/articles/cq80974l402o,Politics
MPs watchdog probes Reeves' theatre tickets declaration,The BBC has been told the chancellor accepted a donation but did not add it to the MPs' register of interests.,https://www.bbc.com/news/articles/c2lzqr8055go,Politics
Counter-terrorism police investigating Kneecap videos,The Metropolitan Police say there are 'grounds for further investigation' into the videos.,https://www.bbc.com/news/articles/clyqe3v5jjdo,Politics
Badenoch accuses government of failure on grooming gangs,The government has been facing growing demands to reveal which areas are running grooming gang inquires.,https://www.bbc.com/news/articles/cx2vmdgdddyo,Politics
Government not taking climate seriously - advisers,"The government has made little progress in preparing the UK for rising temperatures, climate watchdog the CCC says.",https://www.bbc.com/news/articles/cvgpey03pnno,Politics
Sex offenders to be denied asylum rights in new law,Asylum seekers placed on the sex offenders register will be denied the right to stay in the UK.,https://www.bbc.com/news/articles/cvg7q0e77exo,Politics
Milkshakes and lattes could be covered by sugar tax,"The tax would be applied to manufacturers of milk-based drinks and dairy-based substitutes, under the plans.",https://www.bbc.com/news/articles/cpwzekdznldo,Politics
What photo ID will you need to vote in the local elections?,Everyone voting in person in the May local elections in England must show valid photo ID.,https://www.bbc.com/news/explainers-64877005,Politics
Is there a local election in my area and where can I vote?,"Find out whether there is an election near you on Thursday and where you can vote, using our lookup tool.",https://www.bbc.com/news/articles/cd925jk27k0o,Politics
Who's standing in the Runcorn by-election?,A total of 15 people are vying to be the next MP for Runcorn and Helsby in Cheshire.,https://www.bbc.com/news/articles/c8epkwk2we3o,Politics
Watch: What's at stake in these local elections?,Watch: What's at stake in these local elections?,https://www.bbc.com/news/videos/cevdmjvke2po,Politics
Is Welsh Labour turning away from Keir Starmer?,"Could frustrations between Welsh and UK Labour boil over, asks political editor Gareth Lewis.",https://www.bbc.com/news/articles/cg41d2k9p4do,Politics
