title,url,description,category
US-donor cuts worry life assurance sector,https://dailynews.co.zw/us-donor-cuts-worry-life-assurance-sector/,,Business
Milk output up 3pct in Q1,https://dailynews.co.zw/milk-output-up-3pct-in-q1/,,Business
CBZ declares US$10m dividend,https://dailynews.co.zw/cbz-declares-us10m-dividend/,"According to group chief legal counsel and governance officer Rumbidzayi Jakanani, the dividend would be paid to all shareholders registered by the close of business on May 9 2025. “Payment is expected to take place on or about May 15, 2025,” Jakanani said.",Business
Govt cushions wheat farmers,https://dailynews.co.zw/govt-cushions-wheat-farmers/,,Business
Vast eyes new concessions. . . as Zimbabwe releases company gems after 15-years,https://dailynews.co.zw/vast-eyes-new-concessions-as-zimbabwe-releases-company-gems-after-15-years/,,Business
Byo pushes for more air traffic,https://dailynews.co.zw/byo-pushes-for-more-air-traffic/,,Business
"Think outside the box, entrepreneurs told",https://dailynews.co.zw/think-outside-the-box-entrepreneurs-told/,,Business
Econet wins big at ZITF 2025,https://dailynews.co.zw/econet-wins-big-at-zitf-2025/,"Econet, the largest technology and telecoms company in Zimbabwe, also won the Best Zimbabwean ICT Exhibit Award, the Zimbabwean Exhibit with Best Thematic Representation Award, and the Most Experiential Zimbabwean Exhibit Award at the 2025 edition of the ZITF held under the theme “Industrialisation: Crafting an Integrated Economic Landscape”.",Business
"Khayah proposes delisting, seeks shareholder nod",https://dailynews.co.zw/khayah-proposes-delisting-seeks-shareholder-nod/,,Business
BCC mulls solar farms on cemeteries,https://dailynews.co.zw/bcc-mulls-solar-farms-on-cemeteries/,,Business
