title,description,url,category
Makore on cloud 9 with soulful Ariko Wani,"Due to the economic downturn, Makore decided to dump music and take the diaspora route in search of greener pastures, finding herself settling in the United Kingdom (UK).",https://www.newsday.co.zw/life-amp-style/article/200041346/makore-on-cloud-9-with-soulful-ariko-wani,Arts
"Crowned Miss Nust 2025, Nomqhele has vision beyond crown","Her multidimensional personality captured the hearts of judges and audiences alike, making her win compelling and inspiring.",https://www.newsday.co.zw/life-amp-style/article/200041348/crowned-miss-nust-2025-nomqhele-has-vision-beyond-crown,Arts
Jay-Z's Roc Nation in Harare for musically-backed financial literacy classes,"The tour has already made waves across the United States and is now expanding its impact to Zimbabwe, bringing an international flair to the country’s educational landscape.",https://www.newsday.co.zw/life-amp-style/article/200041362/jay-zs-roc-nation-in-harare-for-musically-backed-financial-literacy-classes,Arts
All set for 10th European Union Film Festival Zimbabwe,"It runs from May 30 to June 8 under the theme, She Means Business, the co-curator of the event, Alex Gwaze, said.",https://www.newsday.co.zw/life-amp-style/article/200041327/all-set-for-10th-european-union-film-festival-zimbabwe,Arts
Gospel giants vow to support Snowy,"Snowy, an emerging talented gospel musician, who fellowships at Harvest House International, received encouragement from Mahendere and Mkokstad.",https://www.newsday.co.zw/life-amp-style/article/200041326/gospel-giants-vow-to-support-snowy,Arts
Visual artist urges creatives to grab world-class opportunities,"The visual artist claimed global fame through carving fine art and abstract renditions of stock birds, faces, heads, hippos and frogs.",https://www.newsday.co.zw/life-amp-style/article/200041290/visual-artist-urges-creatives-to-grab-world-class-opportunities,Arts
Hodzeko Arts and Culture  Association amplifies voives of physically challenged Zimbabwean poets,"Poetry, a powerful medium for self-expression, serves as a tool for these artists to share their stories and aspirations.",https://www.newsday.co.zw/life-amp-style/article/200041285/hodzeko-arts-and-culture-association-amplifies-voives-of-physically-challenged-zimbabwean-poets,Arts
Takafanana celebrates disability inclusion,Hundreds of music lovers and stakeholders gathered to witness the launch of this impactful anthem.,https://www.newsday.co.zw/life-amp-style/article/200041268/takafanana-celebrates-disability-inclusion,Arts
Loss of a husband inspires new books,"Of all her five books, Matibiri said the latest publications had “drawn more tears out of me”, although each piece felt like a search for her voice and life purpose as a writer.",https://www.newsday.co.zw/life-amp-style/article/200041189/loss-of-a-husband-inspires-new-books,Arts
Zim Folk Fusion returns for 5th edition,"HOPE Masike and Victor Kunonga will headline the fifth edition of Zim Folk Fusion scheduled to take place at The Grub Restaurant and Pub located in Eastlea, Harare, today.",https://www.newsday.co.zw/life-amp-style/article/200041190/zim-folk-fusion-returns-for-5th-edition,Arts
Free health day for local creatives,Mutamba said they invited the three students from Benzi Primary School as part of an outreach programme to support marginalised communities.,https://www.newsday.co.zw/life-amp-style/article/200041127/free-health-day-for-local-creatives,Arts
