title,description,url,category
Zapu to ‘recall’  Zanu PF ministers,"BY NIZBERT MOYO Opposition party Zapu says it will this week write to Parliament seeking to recall its former members, who are now part of the ruling Zanu PF. Iphuthile Maphosa, the Zapu spokesperson, said the decision was taken at a special meeting of the party’s National People’s Council held in Bulawayo yesterday. Former Zapu […]",https://www.thestandard.co.zw/politics/article/161093/zapu-to-recall-zanu-pf-ministers,Politics
Zapu to ‘recall’  Zanu PF ministers,"BY NIZBERT MOYO Opposition party Zapu says it will this week write to Parliament seeking to recall its former members, who are now part of the ruling Zanu PF. Iphuthile Maphosa, the Zapu spokesperson, said the decision was taken at a special meeting of the party’s National People’s Council held in Bulawayo yesterday. Former Zapu […]",https://www.thestandard.co.zw/politics/article/161091/zapu-to-recall-zanu-pf-ministers,Politics
Khupe gets millions from govt purse,"The government on Friday gave MDC-T leader Thokozani Khupe $7,4 million, insisting that she is the legitimate leader of the main opposition in Parliament despite ongoing court disputes about her status, it has emerged.",https://www.thestandard.co.zw/politics/article/169509/khupe-gets-millions-from-govt-purse,Politics
Govt blames Gukurahundi victims documentation delays on Covid-19,"The documentation of victims of Gukurahundi has been affected by the current lockdown measures implemented to stop the spread of Covid-19, Home Affairs and Cultural Heritage minister Kazembe Kazembe has said.",https://www.thestandard.co.zw/politics/article/169526/govt-blames-gukurahundi-victims-documentation-delays-on-covid-19,Politics
Chamisa speaks on ‘next steps’,MDC Alliance leader Nelson Chamisa will today speak on the direction his party will take in the wake of a fierce battle for control of the country’s main opposition party.,https://www.thestandard.co.zw/politics/article/169533/chamisa-speaks-on-next-steps,Politics
Mnangagwa wants to kill me: Moyo,Exiled former Higher Education minister Jonathan Moyo claims President Emmerson Mnangagwa tried to assassinate him and he has evidence to prove it.,https://www.thestandard.co.zw/politics/article/169554/mnangagwa-wants-to-kill-me-moyo,Politics
"Biti, Karenyi – More freed on bail","MDC Alliance vice presidents, Tendai Biti and Lynnette Karenyi-Kore and other party leaders who were arrested at the Morgan Tsvangirai House on Friday have been granted $1000 bail each.",https://www.thestandard.co.zw/politics/article/170296/biti-karenyi-8211-more-freed-on-bail,Politics
"I’m living in fear of SB Moyo, Mutsvangwa, says Energy Mutodi",The tiff between President Emmerson Mnangagwa’s ministers sparked by Tanzania’s response to the coronavirus outbreak escalated on Wednesday with Information deputy minister Energy Mutodi saying he is now living in fear of Foreign Affairs minister Sibusiso Moyo.,https://www.thestandard.co.zw/politics/article/170882/i8217m-living-in-fear-of-sb-moyo-mutsvangwa-says-energy-mutodi,Politics
The recall of MDC-A MPs: Trial balloon or whistle-stopping acts?,The Supreme Court’s MDC-T presidential legitimacy has brought to the fore issues on appointments of key figures to Parliament; Zimbabwe Anti-Corruption Commission; and the MDC-T national executive.,https://www.thestandard.co.zw/politics/article/171013/the-recall-of-mdc-a-mps-trial-balloon-or-whistle-stopping-acts,Politics
Chamisa vows to fight back after legislators’ recall,"MDC Alliance leader, Nelson Chamisa has vowed to fight back after his rivals recalled four of his legislators from Parliament on Tuesday, in a development that poses a threat to the future of Zimbabwe’s largest opposition party.",https://www.thestandard.co.zw/politics/article/171016/chamisa-vows-to-fight-back-after-legislators8217-recall,Politics
Chamisa’s Independence Day address in full: Fulfilling the democratic transformation promise,"Happy Independence Day fellow Zimbabweans, wherever you are and whatever your political affiliation or station in life.",https://www.thestandard.co.zw/politics/article/171464/chamisas-independence-day-address-in-full-fulfilling-the-democratic-transformation-promise,Politics
The cat is out of the bag for the United States’ Joe Biden,The International Day for the Elimination of Racial Discrimination was celebrated in March.,https://www.thestandard.co.zw/politics/article/171949/the-cat-is-out-of-the-bag-for-the-united-states-joe-biden,Politics
Fisherman drowns,"A fisherman drowned in a dam while another one was mauled by a crocodile while fishing in Madziva, Mt Darwin, last week.",https://www.thestandard.co.zw/politics/article/172065/fisherman-drowns,Politics
Top MDC official recounts prison ‘hell’,"A top MDC official, who was incarcerated together with 11 party youths in connection with protests in Chitungwiza last month, has described conditions under which they were held as hell.",https://www.thestandard.co.zw/politics/article/172066/top-mdc-official-recounts-prison-hell,Politics
Reprieve for death row prisoners,PRESIDENT Emmerson Mnangagwa has commuted death sentences to life imprisonment for all prisoners on death row for at least 10 years.,https://www.thestandard.co.zw/politics/article/172068/reprieve-for-death-row-prisoners,Politics
Covid-19: Chamisa preaches unity,MDC leader Nelson Chamisa believes the outbreak of the coronavirus gives Zimbabweans an opportunity to bury their differences as they fight the pandemic.,https://www.thestandard.co.zw/politics/article/172070/covid-19-chamisa-preaches-unity,Politics
Chiwenga returns from China,"VICE-President Constantino Chiwenga will not go into self-isolation after spending a fortnight in China and will instead lead the country’s battle to stop the spread of the coronavirus, a top government official said yesterday. BY MOSES MATENGA Chiwenga arrived back in the country on Friday night after President Emmerson Mnangagwa appointed him to lead a […]",https://www.thestandard.co.zw/politics/article/172072/chiwenga-returns-from-china,Politics
Covid-19: Red flag over lockdown,The government yesterday moved to exempt certain sectors from the lockdown that begins tomorrow after industry warned that forcing all companies to shut down will ground the fragile economy.,https://www.thestandard.co.zw/politics/article/172073/covid-19-red-flag-over-lockdown,Politics
