title,description,url,category
"Jaricha, the visionary building Africa's future, one mall and football club at a time","With expansion plans into Zambia and Mozambique taking shape, Jaricha's blueprint for African business might just become the continent's playbook.",https://www.thestandard.co.zw/sport/article/200041247/jaricha-the-visionary-building-africas-future-one-mall-and-football-club-at-a-time,Sports
title,description,url,category
As mad as it gets,"Let us consider the “run laps” concept for a moment – after all, it is a common trait of coaches.",https://www.thestandard.co.zw/sport/article/200041507/as-mad-as-it-gets,Sport
Nakamba's Luton relegated to League One,Luton Town lost 5 - 3 to West Bromwich Albion to become only the fourth team to suffer back-to-back relegations from the Premier League all the way to League One,https://www.thestandard.co.zw/sport/article/200041524/nakambas-luton-relegated-to-league-one,Sport
Scottish test for DeMbare,"In contrast, Scottland have 16 points after playing the same number of matches.",https://www.thestandard.co.zw/sport/article/200041525/scottish-test-for-dembare,Sport
CBZ to spruce up Highlanders Club house,This was revealed by the financial institution’s management at the launch of a partnership with the club at a Bulawayo hotel on Friday night.,https://www.thestandard.co.zw/sport/article/200041508/cbz-to-spruce-up-highlanders-club-house,Sport
Nyamukondiwa confident ahead of FBC Zim Open,"FBC Holdings Group have poured US$200 000 into the prize fund, thus increasing the package from 2,5 million rand last year to 3 million rand.",https://www.thestandard.co.zw/sport/article/200041503/nyamukondiwa-confident-ahead-of-fbc-zim-open,Sport
Hockey team pleads for support after Junior World Cup qualification,"South Africa and hosts Namibia grabbed the two other World Cup places after finishing first and second, respectively at the continental championship.",https://www.thestandard.co.zw/sport/article/200041504/hockey-team-pleads-for-support-after-junior-world-cup-qualification,Sport
Zimra team makes SARAIG games history,The victory marked a repeat of their success from the previous year's tournament in Lesotho.,https://www.thestandard.co.zw/sport/article/200041289/zimra-team-makes-saraig-games-history,Sport
Gwanda Pirates a new beacon of hope,"As it stands, Gwanda Pirates sit on second place with 6 points and four goals while Sheasham FC are at the top of the table with  six points and four goals from two games.",https://www.thestandard.co.zw/sport/article/200041246/gwanda-pirates-a-new-beacon-of-hope,Sport
As bad as it gets,"When it comes to professional sport, we may recognise that coaches or managers have such an attitude.",https://www.thestandard.co.zw/sport/article/200041229/as-bad-as-it-gets,Sport
Inside sport: Our football heading for better times,The Castle Lager PSL Championship and the Chibuku Super Cup — which are reserved for PSL clubs only — are not enough for a country with big football ambitions,https://www.thestandard.co.zw/sport/article/200041228/inside-sport-our-football-heading-for-better-times,Sport
Chevrons seek to finish off wounded Tigers,"With Muzarabani's form and the team's momentum, Zimbabwe looks poised to fly past the wounded Tigers.",https://www.thestandard.co.zw/sport/article/200041249/chevrons-seek-to-finish-off-wounded-tigers,Sport
"Varevi claims Coca-Cola Four Minute Mile title, but magic mark  remains elusive","Tafadzwa Chidziva of Mr Pace Athletics Club and ZRP's Makota Shiyane finished fourth and fifth respectively, with times of 4 minutes 24.52 seconds and 4 minutes 25.38 seconds.",https://www.thestandard.co.zw/sport/article/200041248/varevi-claims-coca-cola-four-minute-mile-title-but-magic-mark-remains-elusive,Sport
"Jaricha, the visionary building Africa's future, one mall and football club at a time","With expansion plans into Zambia and Mozambique taking shape, Jaricha's blueprint for African business might just become the continent's playbook.",https://www.thestandard.co.zw/sport/article/200041247/jaricha-the-visionary-building-africas-future-one-mall-and-football-club-at-a-time,Sport
Jonah Queens maintain unbeaten run,"The team is being sponsored by Johane Masowe Centenary based leader Bigy ""prophet Jonah"" Musanzika who expressed optimisim on his club.",https://www.thestandard.co.zw/sport/article/200041250/jonah-queens-maintain-unbeaten-run,Sport
