title,url,category,source,text_to_cluster,cluster
Tesla denies contacting headhunters to replace Musk,https://www.bbc.com/news/articles/cr4n94klqg9o,Business,Bbc,tesla deni contact headhunt replac musk electr car firm say report hunt successor absolut fals,1
Seven takeaways from US-Ukraine resources deal,https://www.bbc.com/news/articles/c5yg456mzn8o,Business,Bbc,seven takeaway usukrain resourc deal wont chang us assist ukrain three year war,1
Apple referred for possible criminal contempt investigation,https://www.bbc.com/news/articles/c62xv43xqq5o,Business,Bbc,appl refer possibl crimin contempt investig tech giant order 2021 allow greater competit open app store outsid payment option,1
Meta warns of 'worse' experience for European users,https://www.bbc.com/news/articles/czd3mey1ej2o,Business,Bbc,meta warn wors experi european user meta said neg impact could kick soon third quarter year,3
Seven takeaways from US-Ukraine resources deal,https://www.bbc.com/news/articles/c5yg456mzn8o,Business,Bbc,seven takeaway usukrain resourc deal wont chang us assist ukrain three year war,1
US and Ukraine sign long-awaited natural resources deal,https://www.bbc.com/news/articles/c5ypw7pn9q3o,Business,Bbc,us ukrain sign longawait natur resourc deal white hous push agreement prerequisit militari assist,1
Trump tells business chiefs he needs 'little bit of time' as US economy shrinks,https://www.bbc.com/news/articles/c807n4rnmjyo,Business,Bbc,trump tell busi chief need littl bit time us economi shrink us presid blame first quarterli gdp declin three year democrat predecessor,3
'We don't care': A defiant China looks beyond Trump's America,https://www.bbc.com/news/articles/cwy7jdn09lxo,Business,Bbc,dont care defiant china look beyond trump america chines export tell bbc us doesnt want good countri money buy,1
Deported gang members get second chance at call centre,https://www.bbc.com/news/articles/c93g2e332d9o,Business,Bbc,deport gang member get second chanc call centr mexican citi tijuana number firm employ peopl remov us,0
"Fifty years after the war, Vietnam faces a new US threat - tariffs",https://www.bbc.com/news/articles/cjewggl0yqeo,Business,Bbc,fifti year war vietnam face new us threat tariff south east asian countri path prosper uschina trade war could chang,1
US economy shrinks as firms import more ahead of tariffs,https://www.bbc.com/news/articles/cpwz9kl12l1o,Business,Bbc,us economi shrink firm import ahead tariff world largest economi contract annual pace 03 first three month 2025,3
Billionaire Isaacman takes big step toward leading Nasa,https://www.bbc.com/news/articles/c5yg30dlp1vo,Business,Bbc,billionair isaacman take big step toward lead nasa jare isaacman work elon musk approv key committe expect clear full senat vote,3
Xi's real test is not Trump's trade war,https://www.bbc.com/news/articles/cpq7y8vl55yo,Business,Bbc,xi real test trump trade war real battleground current trade war might china domest economi,3
Starbucks to hire more baristas in bid to win back customers,https://www.bbc.com/news/articles/cwy747g49ezo,Business,Bbc,starbuck hire barista bid win back custom move increas staff number come coffe shop giant continu see sale fall,0
"Border crossings, egg prices and jobs - Trump's 100 days speech fact-checked",https://www.bbc.com/news/articles/cy5rd35wg4ro,Business,Bbc,border cross egg price job trump 100 day speech factcheck bbc verifi look claim made us presid speech michigan,1
Richard Branson criticises Donald Trump's tariffs,https://www.bbc.com/news/articles/cq5w156y3jeo,Business,Bbc,richard branson criticis donald trump tariff sir richard branson told bbc want make london prosper everybodi,1
Playing with FIRE: How to quit work and retire in your 30s,https://www.bbc.com/reel/video/p09qwdp6/playing-with-fire-how-to-quit-work-and-retire-in-your-30s,Business,Bbc,play fire quit work retir 30 person financ strategi popular among millenni help quit job retir decad earli,1
Boomerang CEOs: Do they ever succeed?,https://www.bbc.com/reel/video/p0h9q7kj/boomerang-ceos-do-they-ever-succeed-,Business,Bbc,boomerang ceo ever succeed five year oust wework adam neumann want rebuy nowbankrupt busi,1
How industry leaders transformed their career,https://www.bbc.com/reel/video/p0h4hbs4/how-industry-leaders-transformed-their-career,Business,Bbc,industri leader transform career bbc katti kay spoken success changemak ask made pivot career,1
Women were the original beer brewers - what changed?,https://www.bbc.com/reel/video/p0gwgmz8/women-were-the-original-beer-brewers-what-changed-,Business,Bbc,women origin beer brewer chang today beer industri maledomin wasnt alway,1
How waiting alters our perception of time,https://www.bbc.com/reel/video/p09cdyyd/how-waiting-alters-our-perception-of-time,Business,Bbc,wait alter percept time expert advic get wait period,1
Do the super-rich 'deserve' their wealth?,https://www.bbc.com/reel/video/p0fv01m1/do-the-super-rich-deserve-their-wealth-,Business,Bbc,superrich deserv wealth cap billionair wealth inherit,1
Four simple hacks to succeed in every conversation,https://www.bbc.com/reel/video/p098mgm9/four-simple-hacks-to-succeed-in-every-conversation,Business,Bbc,four simpl hack succeed everi convers career coach choreograph chef dragon boat captain offer advic give critic feedback,1
Solo and hybrid work: Navigating our future and new normal,https://www.bbc.com/reel/video/p09p4p1r/solo-and-hybrid-work-navigating-our-future-and-new-normal,Business,Bbc,solo hybrid work navig futur new normal covid19 reshap way live work rethink solo work explor futur worklif,1
Can supersonic flight ever be sustainable?,https://www.bbc.com/reel/video/p0c5mvlh/can-supersonic-flight-ever-be-sustainable-,Business,Bbc,superson flight ever sustain new era quiet net zero superson airlin could revolutionis aviat industri,1
Commencement speech: The surprising pitfall of your passions,https://www.bbc.com/reel/video/p0fq5w2r/commencement-speech-the-surprising-pitfall-of-your-passions,Business,Bbc,commenc speech surpris pitfal passion student graduat us week commenc speech might lead question choic,1
A desk full of descriptions for your work colleagues,https://www.bbc.com/reel/video/p0d20p52/a-desk-full-of-descriptions-for-your-work-colleagues,Business,Bbc,desk full descript work colleagu long lost word youv wait describ colleagu,1
Veterinarian suicide rates are very high. Why?,https://www.bbc.com/reel/video/p0gkmzb8/veterinarian-suicide-rates-are-very-high-why-,Business,Bbc,veterinarian suicid rate high veterinarian profession commit suicid higher rate gener popul,1
ASMR: How whispering took over the internet,https://www.bbc.com/reel/video/p0d95c27/asmr-how-whispering-took-over-the-internet,Business,Bbc,asmr whisper took internet meet creator behind current asmr boom,1
"Canada will deal with Trump 'on our terms', Carney tells BBC",https://www.bbc.com/news/articles/c14xydjzn5eo,Business,Bbc,canada deal trump term carney tell bbc speak exclus bbc canada pm say visit us seriou discuss,1
Trump calls Bezos as Amazon says no plan to show tariff price rises,https://www.bbc.com/news/articles/cdxg7xpr2j0o,Business,Bbc,trump call bezo amazon say plan show tariff price rise donald trump call amazon founder jeff bezo complain plan compani said reject,3
Trump eases car tariffs after firms raised concerns,https://www.bbc.com/news/articles/c70zy5w983go,Business,Bbc,trump eas car tariff firm rais concern presid said move would give compani relief adjust suppli chain,3
Analysis:  Carney wants to lead a G7 fightback on Trump tariffs,https://www.bbc.com/news/articles/cx27d89z0qdo,Business,Bbc,analysi carney want lead g7 fightback trump tariff win canadian elect mark carney becom biggest econom forc us presid,1
How Spain powered back to life from unprecedented national blackout,https://www.bbc.com/news/articles/c175ykvjxyeo,Business,Bbc,spain power back life unpreced nation blackout howev diversifi spain energi mix blackout requir enorm effort get back run,1
"Malta's golden passport scheme breaks EU law, top court rules",https://www.bbc.com/news/articles/ceqrd8dpzd5o,Business,Bbc,malta golden passport scheme break eu law top court rule scheme let peopl becom citizen pay buy rent properti certain valu donat chariti,1
"Trainer prices will rise due to tariffs, says Adidas",https://www.bbc.com/news/articles/c93g20z7943o,Business,Bbc,trainer price rise due tariff say adida adida say trade tariff introduc presid donald trump lead price rise us consum,3
Prince Andrew's firm linked to controversial PPE millionaire,https://www.bbc.com/news/articles/c9vep0p877wo,Business,Bbc,princ andrew firm link controversi ppe millionair document show doug barrowmanlink compani own princ startup competit two year,1
Australian PM dismisses warning over AAA credit rating,https://www.bbc.com/news/articles/c70zy7x0xy9o,Business,Bbc,australian pm dismiss warn aaa credit rate high public spend put countri rate risk save found analyst said,3
"After 20 years, family favourite The Gruffalo set for new adventure",https://www.bbc.com/news/articles/cddejgv4rlgo,Arts/Culture/Celebrities,Bbc,20 year famili favourit gruffalo set new adventur author julia donaldson say spur write campaign revers declin children read,0
Lorde: 'Working with Charli XCX kicked me into opening up',https://www.bbc.com/news/articles/c0l05xx6ekdo,Arts/Culture/Celebrities,Bbc,lord work charli xcx kick open lord announc fourth album featur remix charli xcx acclaim brat,1
"After 20 years, family favourite The Gruffalo set for new adventure",https://www.bbc.com/news/articles/cddejgv4rlgo,Arts/Culture/Celebrities,Bbc,20 year famili favourit gruffalo set new adventur author julia donaldson say spur write campaign revers declin children read,0
Lorde: 'Working with Charli XCX kicked me into opening up',https://www.bbc.com/news/articles/c0l05xx6ekdo,Arts/Culture/Celebrities,Bbc,lord work charli xcx kick open lord announc fourth album featur remix charli xcx acclaim brat,1
Robert De Niro shows support for transgender daughter,https://www.bbc.com/news/articles/c8dg3pn24z0o,Arts/Culture/Celebrities,Bbc,robert de niro show support transgend daughter dont know big deal say us hollywood actor,3
